Timestamp,What is your age group,What is your gender?,Employment status?,What is your education level?,How many times did you test positive for COVID-19 during the pandemic?,"If you had COVID, how did the fact that you became ill impact your job?",How many vaccinations did you receive?,How would you rank the government's public support during Covid (1  to 5 = very satisfied) [Finance (Support)],How would you rank the government's public support during Covid (1  to 5 = very satisfied) [medical(vaccines)],How would you rank the government's public support during Covid (1  to 5 = very satisfied) [Public safety (social distancing)],How effective did you find the lockdown in Singapore? (rank 1 Least to 5 Most),How would you rate the usability of the Tracetogether app?,How frequently did you use the TraceTogether app or Token to check into venues in Singapore?,Did the TraceTogether app help you to maintain social distancing during the pandemic? ,Did the TraceTogether app help reduce the spread of COVID-19?,Did the government provide enough information about the TraceTogether app and its benefits?,Did the TraceTogether app enhance your sense of participation and engagement in the fight against COVID-19?,Did the TraceTogether app help you to feel more connected with other citizens during the pandemic?,Did the TraceTogether app help you to feel more connected with the government during the pandemic?,Do you think the TraceTogether app contributed to a safer environment for citizens during the pandemic?,Do you think the government should invest in more smart city technologies like the TraceTogether app in the future?,Should the government involve citizens more in developing and implementing smart city technologies in the future?,What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Citizens' participation],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Public-private partnership],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Improved lifestyle],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Better healthcare],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Improved public transport],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Better education opportunities],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [More job availability],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Other],"If you selected ""Other"", can you describe here?","Some cities have direct reporting or claim service for citizens. Other have social media channels where citizens can share opinions. There may be projects where groups or neighbourhoods are included in innovation, or even startups given opportunities to launch solutions through the city platform and support.

How would you prefer citizens' participation to be offered in your city?",What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [Survey],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [City living labs],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [Interviews],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [feedback and report solutions],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [inclusion with incentives],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [others],How important is the government to involve citizens in developing smart city projects? [1 Least - 5 Most],How would you rate the effectiveness of the government in involving citizens in developing smart city projects? [1 Least - 5 Most],What factors influence citizens' willingness to participate in smart city projects? [enter] ,How are you communicating or giving feedback to the local government?,"How satisfied are you with the responses from the local government, from your feedback or inquiries? [1 Least - 5 Most]",What recommendations do you have for improving citizens' participation in smart city projects in Singapore? [enter] 
3/9/2023 20:33:13,45-54,Female,Out of work and looking for work,Bachelor’s degree,1,(4) No impact,4,3,3,3,3,3,every day,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Maybe,Yes,Strongly agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,3,,Not sure,5 Most,5 Most,5 Most,5 Most,5 Most,3,5,5,Incentives ,,,Roadshows to create awareness
3/9/2023 20:50:21,45-54,Male,Employed full time,Master’s degree,0,(4) No impact,3,1 Not at all satisfied,4,2,2,3,every day,No,No,No,No,No,No,No,No,Strongly agree,3,2,3,3,3,3,3,1 Least,There's no option for NA,Incentives like cashback or free healthcare ,3,4,3,3,3,1 Least,4,1,Lower price or easier life than status quo,,,Handling citizens data is dismal level with no respect to individual citizens privacy rights. Include foreigners in to the process to take it to next level 
3/11/2023 11:39:34,35-44,Male,Employed full time,Master’s degree,2,(4) No impact,3,3,Very satisfied,Very satisfied,5,5,every day,Maybe,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Strongly agree,5 Most,4,5 Most,5 Most,5 Most,4,5 Most,5 Most,Overall better social Bering ,"This question is not clear. If it gives some examples, that’s would be great ",4,5 Most,4,4,5 Most,4,5,5,Educating the public on the benefits ,Government issues app,4,Run campaign about the benefits of participating in smart city projects 
3/18/2023 19:18:18,45-54,Male,Employed full time,Bachelor’s degree,2,(4) No impact,3,1 Not applicable,3,3,3,5,every day,Maybe,Maybe,Yes,Yes,No,No,Yes,Yes,Strongly agree,3,3,3,3,3,3,3,1 Least,.,Thru social media channels ,5 Most,3,3,3,3,3,3,3,.,"Government issued app, Government website",5,.
3/18/2023 19:20:37,55-64,Male,Self-employed,Master’s degree,1,(4) No impact,3,5 Very satisfied,5 Very satisfied,5 Very satisfied,4,4,once a month,No,No,Maybe,Yes,No,No,Maybe,Yes,Strongly agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,Improved efficiency,No opinion,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,5,4,no idea,"Social Media (Facebook, Twitter, etc)",4,no opinion
3/18/2023 19:21:22,55-64,Female,Self-employed,Master’s degree,1,(2) Reduced work,2,3,5 Very satisfied,5 Very satisfied,4,4,twice a month,Yes,Maybe,Yes,Yes,No,Yes,Yes,Yes,Strongly agree,4,4,4,4,4,4,4,4,Reduce cyber crimes which is always a growing threat with new technologies,All the above methods and with neighbourhoods including education institutions to play active role too.,5 Most,3,4,5 Most,5 Most,5 Most,1,1,"Not sure if this question is about motivation, if so. then time, efforts and incentive are the factors ","Social Media (Facebook, Twitter, etc), Government website",3,There should be more awareness created
3/18/2023 19:34:05,55-64,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",1,(4) No impact,4,1 Not applicable,1 Not applicable,1 Not applicable,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,2,2,2,2,2,2,2,2,Nil,No comments ,2,2,2,2,2,2,3,3,No comments ,Government issued app,3,No comments 
3/18/2023 19:39:28,35-44,Male,Employed full time,Bachelor’s degree,2,(4) No impact,4,4,5 Very satisfied,5 Very satisfied,4,4,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,Support g9vt project,Very liked,5 Most,5 Most,5 Most,5 Most,5 Most,2,5,5,Most important to be involved,"Social Media (Facebook, Twitter, etc), Local community center (local MP)",5,Help and unite one another
3/18/2023 19:41:25,45-54,Male,Employed full time,Bachelor’s degree,0,(4) No impact,3,2 Not satisfied,2 Not satisfied,2 Not satisfied,1,5,every day,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Strongly agree,4,4,4,4,4,4,4,1 Least,,Online polls,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,5,5,Anonymity ,Email to relevant ministry ,3,Politicians should stay connected to people on the ground.
3/18/2023 19:42:11,65-74,Female,Self-employed,Master’s degree,1,(4) No impact,4,3,3,3,4,4,more than twice a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,3,3,3,3,3,3,3,3,To assist for betterment of everyone,By allowing citizens to give their opinion. ,3,3,4,4,4,2,4,4,By understanding its usefulness.,"Government issued app, Local community center (local MP)",3,By issuing questionnaire. 
3/18/2023 19:42:55,55-64,Female,Employed full time,Master’s degree,1,(4) No impact,4,4,5 Very satisfied,5 Very satisfied,5,5,more than twice a week,Maybe,Yes,Maybe,Yes,No,Yes,Yes,Yes,Agree,4,3,2,5 Most,5 Most,5 Most,5 Most,1 Least,,Forums,5 Most,4,5 Most,5 Most,5 Most,1 Least,4,3,Willingness to hear feedback ,Government website,3,More information on future city living
3/18/2023 19:48:55,45-54,Male,Employed full time,Bachelor’s degree,1,(4) No impact,3,3,5 Very satisfied,5 Very satisfied,4,4,more than twice a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,3,3,3,3,3,3,3,3,,Yes,3,3,3,3,3,3,3,3,Na,Government website,3,Na
3/18/2023 20:07:33,45-54,Male,Employed full time,Bachelor’s degree,2,(2) Reduced work,4,1 Not applicable,5 Very satisfied,5 Very satisfied,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,3,3,4,4,3,4,4,1 Least,,Media app,3,3,3,4,4,3,4,5,"Incentives
","Social Media (Facebook, Twitter, etc)",4,Incentives
3/18/2023 20:09:17,45-54,Female,Retired,Master’s degree,0,(4) No impact,4,5 Very satisfied,5 Very satisfied,5 Very satisfied,5,5,every day,No,Maybe,Yes,Yes,No,No,Yes,Maybe,Agree,3,4,4,4,4,4,4,3,,Face to face sessions,4,3,4,4,5 Most,3,4,4,Perceived outcomes,Email,2,Give more incentives for participation 
3/18/2023 20:17:50,55-64,Male,Self-employed,Master’s degree,1,(4) No impact,3,2 Not satisfied,2 Not satisfied,2 Not satisfied,1,1,once a month,Maybe,No,No,No,No,No,No,No,Strongly agree,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,None of the above are interesting. ,More direct from every involved citizen. ,4,5 Most,5 Most,5 Most,5 Most,5 Most,5,1,Involvement in decisions which are seriously lacking. ,Waste of time. ,1,"Involvement, involvement, involvement of every citizen. "
3/18/2023 20:50:33,45-54,Male,Employed full time,Doctorate degree,1,(4) No impact,4,1 Not applicable,5 Very satisfied,5 Very satisfied,4,5,more than twice a week,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Agree,4,4,5 Most,3,3,4,4,1 Least,,No. Too much noise. ,1 Least,4,3,3,5 Most,3,4,4,Related to their lives,"Government issued app, Government website",3,User experience survey and interview 
3/18/2023 21:22:05,45-54,Male,Employed full time,Bachelor’s degree,1,(2) Reduced work,3,3,3,3,5,5,every day,Yes,Maybe,Yes,Yes,Maybe,Yes,Yes,Yes,Neutral,3,3,3,4,4,4,4,4,,surveys,3,3,3,3,3,3,4,4,health,"Social Media (Facebook, Twitter, etc)",4,feedback
3/18/2023 21:37:30,45-54,Male,Self-employed,Master’s degree,1,(4) No impact,4,5 Very satisfied,5 Very satisfied,4,4,4,every day,No,Yes,Yes,Maybe,Maybe,Yes,Yes,Yes,Agree,4,4,3,5 Most,4,3,3,3,No,Workshops,1 Least,4,4,3,3,1 Least,5,3,Incentives,None now,3,Make it worth their time
3/18/2023 21:47:40,45-54,Male,Employed full time,Doctorate degree,0,(4) No impact,4,1 Not applicable,4,2 Not satisfied,2,2,every day,No,No,No,Maybe,No,Maybe,No,Maybe,Agree,3,3,4,5 Most,5 Most,5 Most,4,1 Least,,Ability to vote for PM and other high level positions,2,4,4,3,5 Most,1 Least,5,2,Belief in freedom of speech,Local community center (local MP),3,More freedom to express opposing views
3/18/2023 22:39:08,45-54,Male,Employed full time,Bachelor’s degree,1,(4) No impact,3,1 Not applicable,5 Very satisfied,5 Very satisfied,5,5,more than twice a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,,Local community,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,5,5,Seeing positive results,"Social Media (Facebook, Twitter, etc), Government website, Local community center (local MP)",5,Keep up with the modern technology
3/18/2023 23:27:10,45-54,Male,Self-employed,Bachelor’s degree,1,(4) No impact,4,3,5 Very satisfied,4,4,5,every day,Maybe,Maybe,Yes,No,No,No,Yes,Maybe,Strongly agree,5 Most,3,5 Most,5 Most,5 Most,3,4,1 Least,clicked by mistake,digital anonymized participation,2,3,4,4,5 Most,1 Least,5,5,opportunity to be heard. incentives. platform to air views about existing problems ,none - I am PR I cannot vote,1,allow PRs to vote and allow all non citizens to take part
3/18/2023 23:35:46,35-44,Female,Self-employed,Bachelor’s degree,1,(4) No impact,3,3,3,3,4,4,twice a month,Maybe,Yes,Yes,Yes,No,Yes,Yes,Yes,Agree,1 Least,1 Least,2,4,3,1 Least,1 Least,1 Least,NA,TV,1 Least,3,4,2,5 Most,1 Least,4,4,Incentives,"Social Media (Facebook, Twitter, etc), Government website",3,NA
3/19/2023 8:52:16,55-64,Male,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",1,(4) No impact,4,5 Very satisfied,5 Very satisfied,5 Very satisfied,4,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,,Citizens can start participate in neighborhoods programs.,4,4,3,4,4,5 Most,5,5,Social programs between citizens ,"Government issued app, Government website, Local community center (local MP)",4,Encourage more social programs within the neighborhoods. 
3/19/2023 9:03:19,25-34,Male,Employed full time,Master’s degree,1,(4) No impact,3,3,3,3,3,3,more than twice a week,No,No,No,No,No,No,No,Yes,Neutral,3,3,5 Most,4,5 Most,4,4,1 Least,,Giving ideas,3,3,3,3,3,1 Least,4,4,Money,"Social Media (Facebook, Twitter, etc)",2,Be more open about the technology used
3/19/2023 9:21:38,45-54,Female,Employed full time,Doctorate degree,1,(4) No impact,4,3,5 Very satisfied,5 Very satisfied,5,5,more than twice a week,Maybe,Maybe,Maybe,No,No,No,Yes,Yes,Agree,1 Least,1 Least,3,1 Least,1 Least,1 Least,1 Least,1 Least,,Not sure as I am not a citizen of Singapore,4,3,2,2,4,1 Least,5,3,Where citizens feel their views will truly be taken in board,"Not really, as a foreigner I don’t feel I have any right to involve in Govt affairs",3,None
3/19/2023 9:55:59,45-54,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",0,(4) No impact,3,1 Not applicable,3,3,5,3,more than twice a week,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Neutral,3,3,4,4,4,4,4,1 Least,,N.A.,3,5 Most,3,5 Most,5 Most,1 Least,5,3,The benefits that citizen can use in the end of the project ,NONE,1,Take care all residents regardless which area they are staying. Not just focus on hdb area. 
3/19/2023 10:06:05,45-54,Female,Employed full time,Bachelor’s degree,1,(4) No impact,3,1 Not applicable,5 Very satisfied,5 Very satisfied,3,5,twice a month,Maybe,Yes,Yes,Maybe,No,Yes,Yes,Yes,Agree,5 Most,1 Least,3,3,5 Most,5 Most,3,1 Least,None,It shouldn’t be restricted to just citizens participation but all residents too,4,5 Most,3,3,5 Most,4,5,3,Incentives ,"Social Media (Facebook, Twitter, etc), Government issued app, Local community center (local MP)",3,Involve all residents 
3/19/2023 10:07:01,45-54,Female,Employed full time,Associate degree,0,(4) No impact,3,3,3,3,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,3,4,4,4,4,4,4,1 Least,door to door,banner advertising/ announcements ,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,5,3,money ,"Government issued app, Government website",5,door to door
3/19/2023 10:11:19,45-54,Male,Employed full time,Bachelor’s degree,2,(1) lost job,4,3,4,4,4,4,every day,No,No,No,Yes,No,Maybe,No,No,Agree,4,4,4,4,4,4,4,3,Securiry,User friendly portal,3,3,3,4,4,3,4,2,Cost vs benefits ,"Government issued app, Government website",4,Get enterprises to be more involved and filter down
3/19/2023 10:13:50,25-34,Female,Employed full time,Bachelor’s degree,1,(4) No impact,3,3,5 Very satisfied,4,3,3,more than twice a week,Maybe,Yes,No,No,No,No,Maybe,Yes,Strongly agree,5 Most,4,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,,Gov.sg form / questionnaire ,5 Most,3,4,5 Most,5 Most,1 Least,5,5,Incentives,Government website,4,More advertisement 
3/19/2023 10:17:34,45-54,Female,Employed full time,Bachelor’s degree,1,(4) No impact,5 or more,2 Not satisfied,3,3,4,5,twice a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,4,4,3,4,3,3,4,1 Least,Nonr,+ Survey/feedback form like this,5 Most,4,4,5 Most,5 Most,1 Least,5,4,Incentive,"Social Media (Facebook, Twitter, etc), Government issued app, Government website, Local community center (local MP)",4,Through survey/feedback
3/19/2023 10:17:38,45-54,Male,Employed full time,Master’s degree,1,(4) No impact,4,1 Not applicable,5 Very satisfied,2 Not satisfied,5,4,every day,Yes,Maybe,Yes,No,No,No,Yes,Maybe,Agree,1 Least,3,3,3,5 Most,5 Most,3,1 Least,,I am not sure,3,3,4,4,3,1 Least,5,3,"In Singapore, money incentives probably",Government issued app,3,Need more awareness and structure to what is or could be on offer for smart city and how that can or can not be achieved
3/19/2023 10:18:35,45-54,Male,Self-employed,"High school graduate, diploma or the equivalent (for example: GED)",2,(4) No impact,3,5 Very satisfied,5 Very satisfied,5 Very satisfied,5,4,every day,Maybe,Maybe,Yes,Yes,No,Yes,Maybe,Yes,Agree,4,4,5 Most,4,5 Most,3,3,3,N/A,Ideas portal/app for citizens,4,4,3,4,3,4,5,5,"saving money, improved lifestyle",Government issued app,5,Ideas portal/app for citizens. 
3/19/2023 10:20:49,55-64,Female,Self-employed,Master’s degree,1,(3) More work,4,2 Not satisfied,5 Very satisfied,5 Very satisfied,5,5,every day,No,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,Strongly agree,5 Most,3,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,Visible changes adapted from suggestions of the public. Name and reward the contributor of the person who raised the suggestion.  ,Hybrid.  Please spare a thought for the non tech savvy elderly as they are struggling and left behind.,1 Least,4,5 Most,3,3,5 Most,5,3,Incentives like vouchers.,"Meet the people sessions, Email to Govt body.",3,"Encourage feedback. Reward citizens for their good ideas. Celebrate good ideas from citizens publicly so that the public is encouraged to participate and contribute positively. Start a blog for citizens to give feedback and suggestions. All government letters should be named and with contact number and and email for efficiency, effectiveness and ownership of issues. All phonecalls to government agencies should be attended to personally rather than a voice recorded set of instructions."
3/19/2023 10:21:26,55-64,Female,Employed full time,"Some high school, no diploma",2,(4) No impact,3,5 Very satisfied,5 Very satisfied,5 Very satisfied,5,5,every day,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Strongly agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,"Smart payment, cash less","Voting, suggestion, option ",5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5,5,"A token of appreciation, voucher","Government issued app, Survey",3,More awareness to the public 
3/19/2023 10:42:12,65-74,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",1,(4) No impact,4,4,5 Very satisfied,5 Very satisfied,5,4,every day,Maybe,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,Agree,5 Most,4,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,NA,NA,3,3,3,3,3,1 Least,5,3,NA,Local community center (local MP),2,NA
3/19/2023 10:49:43,45-54,Female,Out of work and looking for work,Bachelor’s degree,0,(4) No impact,3,1 Not applicable,3,3,5,5,every day,No,Maybe,Yes,Yes,No,No,Yes,Yes,Strongly agree,4,4,4,4,4,4,3,3,,Social media,5 Most,5 Most,5 Most,5 Most,5 Most,4,5,5,If there’s direct impact,"Social Media (Facebook, Twitter, etc), Government issued app, Government website",4,Provide incentives for participants
3/19/2023 10:54:05,45-54,Male,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",1,(2) Reduced work,4,4,5 Very satisfied,4,5,5,more than twice a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Agree,4,1 Least,4,4,4,4,4,4,NA,Yes,4,3,4,5 Most,4,3,4,4,Ease of access and feedback ,"Social Media (Facebook, Twitter, etc), Government issued app, Government website, Local community center (local MP)",4,na
3/19/2023 11:01:22,35-44,Female,Self-employed,Bachelor’s degree,1,(2) Reduced work,3,3,5 Very satisfied,5 Very satisfied,3,4,more than twice a week,No,No,Yes,No,No,No,Maybe,Yes,Agree,4,3,4,4,4,4,4,1 Least,,Community group,3,3,3,3,3,2,4,4,"Interest, time factor",Local community center (local MP),3,Convenient locations 
3/19/2023 11:20:20,35-44,Male,Self-employed,Bachelor’s degree,1,(2) Reduced work,3,1 Not applicable,4,4,3,3,twice a month,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Neutral,3,3,3,3,3,3,3,1 Least,,No,3,3,2,4,3,3,3,3,No,Government website,3,No
3/19/2023 11:32:45,25-34,Female,A student,Bachelor’s degree,0,(4) No impact,4,5 Very satisfied,5 Very satisfied,4,4,5,every day,Maybe,Yes,Yes,Yes,Yes,No,Yes,Yes,Agree,5 Most,3,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,,Through community centre outreach. Notice boards in HDB and televised in news,5 Most,3,5 Most,5 Most,5 Most,1 Least,4,4,"Incentives (e.g vouchers), jobs","Government website, Local community center (local MP)",3,Nil
3/19/2023 11:37:31,18-24,Male,A student,Bachelor’s degree,1,(4) No impact,3,2 Not satisfied,2 Not satisfied,3,3,2,every day,Maybe,Maybe,No,No,No,No,Maybe,Maybe,Neutral,3,3,4,3,3,3,5 Most,3,Na,NA,4,4,4,4,5 Most,3,5,5,Benefits for people ,"Social Media (Facebook, Twitter, etc)",3,Give more benefits for all people in Singapore and let them join it.
3/19/2023 11:39:28,25-34,Male,A student,Bachelor’s degree,0,(4) No impact,3,2 Not satisfied,3,3,3,5,every day,Maybe,Maybe,Yes,Yes,Maybe,Yes,Yes,Yes,Strongly agree,5 Most,4,5 Most,4,5 Most,5 Most,5 Most,3,,"Involvement without too much work would be great, it sucks when participation feels like mandatory task especially when you have a heavy duty life",4,4,4,4,5 Most,3,5,4,"How much work is required, and how easy it is understanding the project ","Social Media (Facebook, Twitter, etc), Government issued app",4,"Promotion should be related to target demographics, people pay little attention to ads if they are not in their preferred language"
3/19/2023 11:39:53,35-44,Female,Employed part time,"High school graduate, diploma or the equivalent (for example: GED)",1,(2) Reduced work,3,3,5 Very satisfied,4,4,4,twice a month,Maybe,Maybe,Yes,Yes,No,Maybe,Yes,Yes,Strongly agree,4,4,5 Most,5 Most,5 Most,5 Most,5 Most,3,NA,Yes,4,4,3,4,4,3,5,3,For better living,Na,3,"Incentives and to better inform citizens on the use, benefits and implementation of the projects"
3/19/2023 11:40:04,45-54,Female,Self-employed,Doctorate degree,1,(4) No impact,3,4,5 Very satisfied,5 Very satisfied,5,5,more than twice a week,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes,Agree,4,3,4,4,4,4,4,1 Least,,Social media platforms ,4,4,3,3,5 Most,3,5,5,Satisfaction & convenience ,"Social Media (Facebook, Twitter, etc), Government issued app",5,More interactive communication with the government officials 
3/19/2023 12:13:52,18-24,Female,A student,"High school graduate, diploma or the equivalent (for example: GED)",0,(2) Reduced work,1,5 Very satisfied,3,4,5,3,Never,No,Maybe,Yes,No,No,Yes,Maybe,Yes,Strongly agree,3,2,5 Most,5 Most,5 Most,5 Most,3,3,,"Offering Startup opportunities to launch smart cities project that have direct, first hand effect to the citizen",2,5 Most,1 Least,1 Least,4,3,5,1,"Ease of Use, Money","Social Media (Facebook, Twitter, etc)",1,Be Less Political and more objective
